,DISTRICT NAME,GDP (in Rs. Cr.)|2004-05,GDP (in Rs. Cr.)|2005-06,GDP (in Rs. Cr.)|2006-07,GDP (in Rs. Cr.)|2007-08,GDP (in Rs. Cr.)|2008-09,GDP (in Rs. Cr.)|2009-10,GDP (in Rs. Cr.)|2010-11,GDP (in Rs. Cr.)|2011-12,GDP (in Rs. Cr.)|2012-13,Growth Rate % (YoY)|2005-06,Growth Rate % (YoY)|2006-07,Growth Rate % (YoY)|2007-08,Growth Rate % (YoY)|2008-09,Growth Rate % (YoY)|2009-10,Growth Rate % (YoY)|2010-11,Growth Rate % (YoY)|2011-12,Growth Rate % (YoY)|2012-13,STATE NAME
2,AHMEDNAGAR,NA,14105,17134,20284,23708,24053,32392,35430,38710,NA,21.47,18.38,16.88,1.46,34.67,9.38,9.26,MAHARASHTRA
3,AKOLA,NA,4589,5744,6878,8520,9717,11618,12693,15133,NA,25.17,19.74,23.87,14.05,19.56,9.25,19.22,MAHARASHTRA
4,AMRAVATI,NA,7119,8081,10074,12616,15725,18471,19730,23770,NA,13.51,24.66,25.23,24.64,17.46,6.82,20.48,MAHARASHTRA
5,AURANGABAD,NA,11303,13174,15959,22468,26610,31380,33704,36367,NA,16.55,21.14,40.79,18.44,17.93,7.41,7.9,MAHARASHTRA
6,BEED,NA,5708,6743,8175,9079,10124,13175,13939,14689,NA,18.13,21.24,11.06,11.51,30.14,5.8,5.38,MAHARASHTRA
7,BHANDARA,NA,3784,4301,5322,6541,6392,7319,8300,9503,NA,13.66,23.74,22.9,-2.28,14.5,13.4,14.49,MAHARASHTRA
8,BULDHANA,NA,4851,5779,7378,9315,10093,12813,13965,15958,NA,19.13,27.67,26.25,8.35,26.95,8.99,14.27,MAHARASHTRA
9,CHANDRAPUR,NA,8424,8936,10519,12451,14676,17071,19970,23102,NA,6.08,17.71,18.37,17.87,16.32,16.98,15.68,MAHARASHTRA
10,DHULE,NA,4578,5413,6584,7925,9856,12437,13872,15624,NA,18.24,21.63,20.37,24.37,26.19,11.54,12.63,MAHARASHTRA
11,GADCHIROLI,NA,1991,2694,2773,3682,3972,4683,5989,6796,NA,35.31,2.93,32.78,7.88,17.9,27.89,13.47,MAHARASHTRA
12,GONDIA,NA,3479,4003,4894,6044,5871,6722,7725,8973,NA,15.06,22.26,23.5,-2.86,14.49,14.92,16.16,MAHARASHTRA
13,HINGOLI,NA,2266,2672,3514,3754,3987,4900,5271,6402,NA,17.92,31.51,6.83,6.21,22.9,7.57,21.46,MAHARASHTRA
14,JALGAON,NA,12642,14733,17201,22559,26999,31281,32574,35149,NA,16.54,16.75,31.15,19.68,15.86,4.13,7.91,MAHARASHTRA
15,JALNA,NA,3804,4566,5557,7215,8233,10476,15039,11752,NA,20.03,21.7,29.84,14.11,27.24,43.56,-21.86,MAHARASHTRA
16,KOLHAPUR,NA,16148,18674,21971,25823,29563,36645,40887,45576,NA,15.64,17.66,17.53,14.48,23.96,11.58,11.47,MAHARASHTRA
17,LATUR,NA,5066,5567,7390,8252,10607,12400,14625,17787,NA,9.89,32.75,11.66,28.54,16.9,17.94,21.62,MAHARASHTRA
18,MUMBAI,NA,92919,108884,130277,176334,191555,221647,252845,290661,NA,17.18,19.65,35.35,8.63,15.71,14.08,14.96,MAHARASHTRA
19,NAGPUR,NA,20423,23115,28183,36990,43791,47384,54586,62291,NA,13.18,21.93,31.25,18.39,8.2,15.2,14.12,MAHARASHTRA
20,NANDED,NA,6334,7378,8963,11168,12552,16615,17931,21257,NA,16.48,21.48,24.6,12.39,32.37,7.92,18.55,MAHARASHTRA
21,NANDURBAR,NA,3953,4418,5136,4912,5157,6199,8146,8055,NA,11.76,16.25,-4.36,4.99,20.21,31.41,-1.12,MAHARASHTRA
22,NASHIK,NA,25273,28907,32893,40278,43063,48529,53846,64041,NA,14.38,13.79,22.45,6.91,12.69,10.96,18.93,MAHARASHTRA
23,OSMANABAD,NA,3564,4247,5329,5773,6665,9046,10414,10320,NA,19.16,25.48,8.33,15.45,35.72,15.12,-0.9,MAHARASHTRA
24,PARBHANI,NA,3805,4614,5932,7355,7842,9786,10374,12353,NA,21.26,28.57,23.99,6.62,24.79,6.01,19.08,MAHARASHTRA
25,PUNE,NA,48995,56756,67952,88421,100786,117507,133432,149502,NA,15.84,19.73,30.12,13.98,16.59,13.55,12.04,MAHARASHTRA
26,RAIGAD,NA,11971,13823,16399,21417,22950,29517,34383,38684,NA,15.47,18.64,30.6,7.16,28.61,16.49,12.51,MAHARASHTRA
27,RATNAGIRI,NA,6045,6798,8292,9583,11771,13918,15807,16945,NA,12.46,21.98,15.57,22.83,18.24,13.57,7.2,MAHARASHTRA
28,SANGLI,NA,9616,11013,13005,15434,17292,22801,25860,28499,NA,14.53,18.09,18.68,12.04,31.86,13.42,10.2,MAHARASHTRA
29,SATARA,NA,11128,12645,14845,17153,19551,23188,25790,28341,NA,13.63,17.4,15.55,13.98,18.6,11.22,9.89,MAHARASHTRA
30,SINDHUDURG,NA,2998,3439,4252,5517,6010,7161,9537,10453,NA,14.71,23.64,29.75,8.94,19.15,33.18,9.6,MAHARASHTRA
31,SOLAPUR,NA,14180,16787,19318,21380,25964,30335,34733,37076,NA,18.39,15.08,10.67,21.44,16.83,14.5,6.75,MAHARASHTRA
32,THANE,NA,54052,63044,76164,98487,112189,136818,158611,179478,NA,16.64,20.81,29.31,13.91,21.95,15.93,13.16,MAHARASHTRA
33,WAHIM,NA,2108,2551,3327,3391,4548,6245,8741,9179,NA,21.02,30.42,1.92,34.12,37.31,39.97,5.01,MAHARASHTRA
34,WARDHA,NA,4078,4600,5798,7329,7582,9059,10257,11844,NA,12.8,26.04,26.41,3.45,19.48,13.22,15.47,MAHARASHTRA
35,YAVATMAL,NA,6759,7603,9574,12071,12121,15547,16414,19500,NA,12.49,25.92,26.08,0.41,28.26,5.58,18.8,MAHARASHTRA
2,ARARIA,"1,369.80","1,516.18","1,710.97","2,006.84","2,452.29","2,800.11","3,659.88",NA,NA,10.69,12.85,17.29,22.2,14.18,30.7,NA,NA,BIHAR
3,ARWAL,334.21,385.42,460.96,520.75,630.28,703.67,849.5,NA,NA,15.32,19.6,12.97,21.03,11.64,20.72,NA,NA,BIHAR
4,AURANGABAD,"1,346.64","1,427.13","1,869.33","2,136.41","2,469.87","2,814.14","3,487.27",NA,NA,5.98,30.99,14.29,15.61,13.94,23.92,NA,NA,BIHAR
5,BANKA,"1,042.12","1,087.17","1,349.83","1,500.11","1,847.26","2,085.59","2,248.51",NA,NA,4.32,24.16,11.13,23.14,12.9,7.81,NA,NA,BIHAR
6,BEGUSARAI,"2,826.24","2,796.49","3,285.05","3,956.50","5,304.32","5,467.83","7,845.18",NA,NA,-1.05,17.47,20.44,34.07,3.08,43.48,NA,NA,BIHAR
7,BHABHUA,905.22,"1,007.40","1,180.96","1,387.00","1,737.32","1,738.17","2,358.97",NA,NA,11.29,17.23,17.45,25.26,0.05,35.72,NA,NA,BIHAR
8,BHAGALPUR,"2,586.08","2,884.94","3,401.79","3,890.47","4,726.28","5,527.85","6,756.27",NA,NA,11.56,17.92,14.37,21.48,16.96,22.22,NA,NA,BIHAR
9,BHOJPUR,"1,619.35","1,883.07","2,311.43","2,647.77","3,400.49","3,677.47","4,571.55",NA,NA,16.29,22.75,14.55,28.43,8.15,24.31,NA,NA,BIHAR
10,BUXAR,956.84,"1,160.78","1,377.25","1,644.33","1,956.02","2,082.76","2,523.65",NA,NA,21.31,18.65,19.39,18.96,6.48,21.17,NA,NA,BIHAR
11,DARBHANGA,"2,375.23","2,560.18","3,009.48","3,414.82","4,224.72","4,891.51","6,541.08",NA,NA,7.79,17.55,13.47,23.72,15.78,33.72,NA,NA,BIHAR
12,EAST CHAMPARAN,"2,702.30","2,809.42","3,427.38","3,369.73","5,119.15","4,996.70","6,643.90",NA,NA,3.96,22,-1.68,51.92,-2.39,32.97,NA,NA,BIHAR
13,GAYA,"2,600.79","2,851.81","3,600.70","4,099.97","4,761.66","5,423.01","6,555.29",NA,NA,9.65,26.26,13.87,16.14,13.89,20.88,NA,NA,BIHAR
14,GOPALGANG,"1,486.46","1,637.26","1,982.96","2,241.20","2,627.20","3,099.64","4,235.91",NA,NA,10.14,21.11,13.02,17.22,17.98,36.66,NA,NA,BIHAR
15,JAMUI,"1,076.86","1,181.77","1,341.90","1,535.26","1,852.72","2,185.01","2,621.02",NA,NA,9.74,13.55,14.41,20.68,17.94,19.95,NA,NA,BIHAR
16,JEHANABAD,591.88,666.2,834.07,949.48,"1,222.68","1,284.94","1,531.88",NA,NA,12.56,25.2,13.84,28.77,5.09,19.22,NA,NA,BIHAR
17,KATIHAR,"2,012.32","2,060.26","2,428.66","2,697.95","3,298.82","3,890.24","4,772.09",NA,NA,2.38,17.88,11.09,22.27,17.93,22.67,NA,NA,BIHAR
18,KHAGARIA,906.99,980.7,"1,179.24","1,413.29","1,681.20","1,882.11","2,245.96",NA,NA,8.13,20.24,19.85,18.96,11.95,19.33,NA,NA,BIHAR
19,KISHANGANG,973.41,"1,036.98","1,228.99","1,305.31","1,608.06","1,783.08","2,249.57",NA,NA,6.53,18.52,6.21,23.19,10.88,26.16,NA,NA,BIHAR
20,LAKHISARAI,609.01,678.34,875.98,"1,004.88","1,179.09","1,366.91","1,590.07",NA,NA,11.38,29.14,14.71,17.34,15.93,16.33,NA,NA,BIHAR
21,MADHEPURA,"1,062.60","1,107.15","1,298.71","1,467.61","1,561.43","1,884.04","2,438.85",NA,NA,4.19,17.3,13.01,6.39,20.66,29.45,NA,NA,BIHAR
22,MADHUBANI,"2,660.89","2,293.76","2,947.01","2,980.44","4,062.52","4,355.79","7,311.13",NA,NA,-13.8,28.48,1.13,36.31,7.22,67.85,NA,NA,BIHAR
23,MUNGER,"1,406.39","1,551.17","1,841.41","2,316.02","2,727.50","3,240.59","3,942.42",NA,NA,10.29,18.71,25.77,17.77,18.81,21.66,NA,NA,BIHAR
24,MUZAFFARPUR,"3,500.30","3,650.63","4,367.05","4,868.43","6,366.15","7,189.02","9,217.88",NA,NA,4.29,19.62,11.48,30.76,12.93,28.22,NA,NA,BIHAR
25,NALANDA,"1,629.36","1,874.21","2,191.31","2,521.83","3,077.43","3,568.29","4,338.85",NA,NA,15.03,16.92,15.08,22.03,15.95,21.59,NA,NA,BIHAR
26,NAWADA,"1,049.52","1,161.58","1,467.38","1,677.78","2,046.72","2,241.67","2,641.54",NA,NA,10.68,26.33,14.34,21.99,9.53,17.84,NA,NA,BIHAR
27,PATNA,"18,625.77","19,070.21","23,584.94","28,035.34","34,670.38","42,724.62","51,071.47",NA,NA,2.39,23.67,18.87,23.67,23.23,19.54,NA,NA,BIHAR
28,PURNEA,"1,920.84","2,053.16","2,366.56","2,637.98","3,265.97","3,905.74","4,577.07",NA,NA,6.89,15.26,11.47,23.81,19.59,17.19,NA,NA,BIHAR
29,ROHTAS,"2,207.49","2,442.86","2,831.97","3,231.02","4,118.35","4,445.72","5,456.08",NA,NA,10.66,15.93,14.09,27.46,7.95,22.73,NA,NA,BIHAR
30,SAHARSA,"1,247.58","1,309.20","1,534.04","1,709.78","2,056.46","2,515.32","3,289.06",NA,NA,4.94,17.17,11.46,20.28,22.31,30.76,NA,NA,BIHAR
31,SAMSTIPUR,"2,369.58","2,519.01","3,401.66","3,391.63","4,340.16","4,834.77","6,501.25",NA,NA,6.31,35.04,-0.29,27.97,11.4,34.47,NA,NA,BIHAR
32,SARAN,"2,142.28","2,442.83","2,783.96","3,274.98","3,805.83","4,455.72","5,384.83",NA,NA,14.03,13.96,17.64,16.21,17.08,20.85,NA,NA,BIHAR
33,SHEKHPURA,314.78,380.32,451.37,539.28,682.35,707.76,833.86,NA,NA,20.82,18.68,19.48,26.53,3.72,17.82,NA,NA,BIHAR
34,SHEOHAR,249.52,261.6,337.88,413.08,503.12,493.87,650.18,NA,NA,4.84,29.16,22.26,21.8,-1.84,31.65,NA,NA,BIHAR
35,SITAMARHI,"1,586.09","1,751.55","2,190.63","2,300.93","3,051.23","3,423.59","4,260.88",NA,NA,10.43,25.07,5.04,32.61,12.2,24.46,NA,NA,BIHAR
36,SIWAN,"1,737.06","1,881.15","2,700.48","2,699.07","3,565.77","3,496.19","4,372.69",NA,NA,8.3,43.55,-0.05,32.11,-1.95,25.07,NA,NA,BIHAR
37,SUPAUL,"1,176.52","1,201.23","1,420.92","1,527.38","1,802.22","2,091.97","2,722.75",NA,NA,2.1,18.29,7.49,17.99,16.08,30.15,NA,NA,BIHAR
38,VAISHALI,"2,066.00","2,184.94","2,664.91","2,796.93","3,871.03","4,326.92","5,559.69",NA,NA,5.76,21.97,4.95,38.4,11.78,28.49,NA,NA,BIHAR
39,WEST CHAMPARAN,"2,506.85","2,742.10","3,498.02","3,568.34","4,605.11","5,320.54","6,604.62",NA,NA,9.38,27.57,2.01,29.05,15.54,24.13,NA,NA,BIHAR
2,BAKSA,NA,NA,NA,NA,NA,"2,060.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
3,BARPETA,NA,NA,NA,NA,NA,"3,175.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
4,BONGAIGAON,NA,NA,NA,NA,NA,"2,627.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
5,CACHAR,NA,NA,NA,NA,NA,"4,620.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
6,CHIRANG,NA,NA,NA,NA,NA,"1,040.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
7,DARRANG,NA,NA,NA,NA,NA,"2,427.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
8,DHEMAJI,NA,NA,NA,NA,NA,"1,401.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
9,DHUBRI,NA,NA,NA,NA,NA,"2,729.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
10,DIBRUGARH,NA,NA,NA,NA,NA,"6,514.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
11,DIMA HASAO,NA,NA,NA,NA,NA,"1,108.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
12,GOALPARA,NA,NA,NA,NA,NA,"2,227.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
13,GOLAGHAT,NA,NA,NA,NA,NA,"3,372.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
14,HAILAKANDI,NA,NA,NA,NA,NA,"1,709.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
15,JORHAT,NA,NA,NA,NA,NA,"4,737.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
16,KAMRUP (METROPOLITAN),NA,NA,NA,NA,NA,"6,877.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
17,KAMRUP RURAL,NA,NA,NA,NA,NA,"5,604.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
18,KARBI-ANGLONG,NA,NA,NA,NA,NA,"2,975.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
19,KARIMGANJ,NA,NA,NA,NA,NA,"3,278.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
20,KOKRAJHAR,NA,NA,NA,NA,NA,"2,957.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
21,LAKHIMPUR,NA,NA,NA,NA,NA,"2,535.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
22,MORIGAON,NA,NA,NA,NA,NA,"2,141.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
23,NAGAON,NA,NA,NA,NA,NA,"5,035.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
24,NALBARI,NA,NA,NA,NA,NA,"2,258.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
25,SIVASAGAR,NA,NA,NA,NA,NA,"6,749.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
26,SONITPUR,NA,NA,NA,NA,NA,"4,309.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
27,TINSUKIA,NA,NA,NA,NA,NA,"6,109.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
28,UDALGURI,NA,NA,NA,NA,NA,"2,151.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASSAM
2,ADILABAD,6527.41,7058.6,8300.56,9860.16,12342.93,13291,16508,17330,19641,8.14,17.59,18.79,25.18,7.68,24.2,4.98,13.34,ANDHRA PRADESH
3,ANANTAPUR,9286.21,10047.71,11252.83,15937.45,17713.73,18647,22071,25577,29133,8.2,11.99,41.63,11.15,5.27,18.36,15.89,13.9,ANDHRA PRADESH
4,CHITTOOR,9048.39,10390.13,11594.82,14241.18,15998.11,17628,22257,26862,30593,14.83,11.59,22.82,12.34,10.19,26.26,20.69,13.89,ANDHRA PRADESH
5,GODAVARI EAST,17289.9,16827.15,20208.88,24081.05,27446.05,31687,34374,38600,44254,-2.68,20.1,19.16,13.97,15.45,8.48,12.29,14.65,ANDHRA PRADESH
6,GODAVARI WEST,12704.42,12791.82,14156.37,17473.1,18552.27,22711,28340,30692,35456,0.69,10.67,23.43,6.18,22.42,24.79,8.3,15.52,ANDHRA PRADESH
7,GUNTUR,11878.6,14374.44,16183.82,19125.08,22550.47,26441,30764,36133,41650,21.01,12.59,18.17,17.91,17.25,16.35,17.45,15.27,ANDHRA PRADESH
8,HYDERABAD,16932.79,20523.91,25016.85,30038.38,35536.76,39564,47610,54839,62894,21.21,21.89,20.07,18.3,11.33,20.34,15.18,14.69,ANDHRA PRADESH
9,KADAPA,6287.94,7050.27,12448.79,14393.29,11911.79,13197,16548,18875,21440,12.12,76.57,15.62,-17.24,10.79,25.39,14.06,13.59,ANDHRA PRADESH
10,KARIMNAGAR,9090.45,11321.09,12782.47,14890.5,18253.43,19224,25066,28257,32165,24.54,12.91,16.49,22.58,5.32,30.39,12.73,13.83,ANDHRA PRADESH
11,KHAMMAM,8194.36,9041.8,10194.87,12203.87,15183.27,16439,19857,21412,24402,10.34,12.75,19.71,24.41,8.27,20.79,7.83,13.96,ANDHRA PRADESH
12,KRISHNA,14736.31,16003.39,18469.15,22391.46,26502.77,31808,35452,40069,46282,8.6,15.41,21.24,18.36,20.02,11.46,13.02,15.51,ANDHRA PRADESH
13,KURNOOL,7994.95,10170.95,10428.54,13636.17,16400.6,17560,21199,22657,25963,27.22,2.53,30.76,20.27,7.07,20.72,6.88,14.59,ANDHRA PRADESH
14,MAHABUBNAGAR,7107.02,8880.44,9501.84,11879.77,14006.14,16593,20428,22480,25814,24.95,7,25.03,17.9,18.47,23.11,10.05,14.83,ANDHRA PRADESH
15,MEDAK,8906.57,10613.4,13879.77,14716.18,18732.63,20744,30668,36418,40075,19.16,30.78,6.03,27.29,10.74,47.84,18.75,10.04,ANDHRA PRADESH
16,NALGONDA,7658.54,9047.11,10423.51,14736.51,18346.31,18634,22185,24830,28174,18.13,15.21,41.38,24.5,1.57,19.06,11.92,13.47,ANDHRA PRADESH
17,NELLORE,7612.73,8607.98,10215.8,11952.25,14451.33,16455,18231,22349,25569,13.07,18.68,17,20.91,13.86,10.79,22.59,14.41,ANDHRA PRADESH
18,NIZAMBAD,4869.16,5940.28,6557.73,7976.66,11428.43,10507,14242,15163,17407,22,10.39,21.64,43.27,-8.06,35.55,6.47,14.8,ANDHRA PRADESH
19,PRAKASAM,8507.54,9959.52,11801.02,13304.8,17495.58,19389,23450,26593,30474,17.07,18.49,12.74,31.5,10.82,20.94,13.4,14.59,ANDHRA PRADESH
20,RANGAREDDY,13310.46,17377.63,21023.21,24916.8,31846.81,34069,48226,54814,61199,30.56,20.98,18.52,27.81,6.98,41.55,13.66,11.65,ANDHRA PRADESH
21,SRIKAKULAM,5059.99,5570.88,6482.82,7615.25,8835.04,10427,12149,14023,16050,10.1,16.37,17.47,16.02,18.02,16.51,15.43,14.45,ANDHRA PRADESH
22,VISAKAPATNAM,19371.01,20497.1,24695.94,30570.33,30638.93,37274,42841,50503,56668,5.81,20.49,23.79,0.22,21.66,14.94,17.88,12.21,ANDHRA PRADESH
23,VIZIANAGARAM,4988.9,5315.09,6125.5,7639.31,8886.84,10104,12187,13864,15858,6.54,15.25,24.71,16.33,13.7,20.62,13.76,14.38,ANDHRA PRADESH
24,WARANGAL,7349.51,8530.56,9289.9,11233.17,13705.13,14441,19107,20255,23247,16.07,8.9,20.92,22.01,5.37,32.31,6.01,14.77,ANDHRA PRADESH
2,BAGALKOTE,NA,NA,NA,"5,903","6,521","6,633","8,146",NA,NA,NA,NA,NA,10.47,1.72,22.81,NA,NA,KARNATAKA
3,BANGALORE RURAL,NA,NA,NA,"5,739","6,332","9,039","10,278",NA,NA,NA,NA,NA,10.33,42.75,13.71,NA,NA,KARNATAKA
4,BANGALORE URBAN,NA,NA,NA,"90,753","1,02,183","1,17,356","1,28,197",NA,NA,NA,NA,NA,12.59,14.85,9.24,NA,NA,KARNATAKA
